epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,970.28,0.51676,0.3062,0.80917,0.98985,0.94872,0.98863,0.83719,0.57738,0.30195,0.79355,0.000990365,0.000990365,0.000990365
43,993.114,0.50243,0.29598,0.79857,0.99338,0.96078,0.99091,0.85536,0.54696,0.28776,0.78994,0.000973861,0.000973861,0.000973861
44,1016.23,0.4961,0.29375,0.8085,0.9938,0.96729,0.99432,0.85278,0.56006,0.29058,0.79197,0.000957358,0.000957358,0.000957358
45,1039.45,0.50656,0.30399,0.80652,0.99529,0.95691,0.99059,0.85361,0.54376,0.29458,0.7875,0.000940855,0.000940855,0.000940855
46,1062.76,0.50011,0.29665,0.80533,0.98919,0.96609,0.99395,0.8359,0.53748,0.28796,0.78803,0.000924352,0.000924352,0.000924352
47,1086.07,0.49478,0.28938,0.79911,0.99066,0.9601,0.99135,0.842,0.54388,0.28574,0.78863,0.000907848,0.000907848,0.000907848
48,1108.99,0.50383,0.29488,0.80501,0.9953,0.95837,0.99173,0.8618,0.52896,0.27606,0.78817,0.000891345,0.000891345,0.000891345
49,1132.01,0.47885,0.28475,0.79666,0.99531,0.95962,0.99182,0.86323,0.52468,0.27979,0.78892,0.000874842,0.000874842,0.000874842
50,1155.18,0.50824,0.29082,0.80247,0.99582,0.95896,0.99193,0.86077,0.53133,0.27494,0.78808,0.000858338,0.000858338,0.000858338
51,1178.37,0.47465,0.27574,0.79635,0.99739,0.96155,0.99054,0.86492,0.52705,0.27528,0.78824,0.000841835,0.000841835,0.000841835
52,1201.16,0.48023,0.28129,0.80159,0.99948,0.95915,0.98648,0.84611,0.52334,0.27085,0.78943,0.000825332,0.000825332,0.000825332
53,1223.84,0.46917,0.27692,0.80211,0.99636,0.96217,0.99149,0.85879,0.53128,0.27195,0.78771,0.000808828,0.000808828,0.000808828
54,1246.68,0.47573,0.27597,0.7994,0.99842,0.95552,0.99097,0.86369,0.5202,0.26835,0.7878,0.000792325,0.000792325,0.000792325
55,1269.59,0.48084,0.27613,0.79275,0.99737,0.95418,0.9902,0.86591,0.51343,0.26859,0.78665,0.000775822,0.000775822,0.000775822
56,1292.89,0.47793,0.27476,0.80006,0.99375,0.95949,0.98954,0.86287,0.51386,0.26438,0.78558,0.000759318,0.000759318,0.000759318
57,1315.84,0.4611,0.26803,0.7979,0.99583,0.95975,0.98868,0.86455,0.51488,0.26799,0.78811,0.000742815,0.000742815,0.000742815
58,1339.06,0.47445,0.27594,0.79326,0.99375,0.95979,0.99107,0.85641,0.53099,0.26955,0.78745,0.000726312,0.000726312,0.000726312
59,1362.39,0.46951,0.27144,0.79605,0.99846,0.95877,0.99269,0.86236,0.51553,0.26298,0.78588,0.000709809,0.000709809,0.000709809
60,1385.75,0.46578,0.27062,0.80102,0.99534,0.96715,0.99427,0.87027,0.50339,0.26131,0.78606,0.000693305,0.000693305,0.000693305
61,1409.1,0.45606,0.26831,0.80035,0.99687,0.96093,0.99122,0.86519,0.50996,0.26565,0.78653,0.000676802,0.000676802,0.000676802
62,1432.56,0.44906,0.26239,0.79956,0.99948,0.95832,0.99112,0.86787,0.50246,0.25784,0.78613,0.000660299,0.000660299,0.000660299
63,1455.51,0.45274,0.26243,0.79515,0.99791,0.95927,0.99157,0.86815,0.49692,0.25579,0.78579,0.000643795,0.000643795,0.000643795
64,1478.59,0.45129,0.26027,0.79251,0.9979,0.95744,0.99195,0.86735,0.50982,0.26087,0.78555,0.000627292,0.000627292,0.000627292
65,1501.77,0.45122,0.2641,0.79037,0.97232,0.98894,0.99362,0.86975,0.50788,0.2659,0.78629,0.000610789,0.000610789,0.000610789
66,1524.76,0.46416,0.26739,0.7997,0.99739,0.96069,0.99343,0.86422,0.52057,0.26874,0.78652,0.000594286,0.000594286,0.000594286
67,1548.04,0.45226,0.26647,0.79159,0.99739,0.96069,0.99176,0.87218,0.49756,0.25664,0.78608,0.000577782,0.000577782,0.000577782
68,1571.35,0.44993,0.25914,0.79551,0.99689,0.96652,0.9934,0.87729,0.48687,0.25476,0.78532,0.000561279,0.000561279,0.000561279
69,1594.58,0.45045,0.25976,0.8022,0.99479,0.95976,0.99084,0.87086,0.49632,0.25587,0.78633,0.000544776,0.000544776,0.000544776
70,1618,0.4457,0.25468,0.79518,0.99792,0.96567,0.99244,0.87262,0.49176,0.25702,0.78463,0.000528272,0.000528272,0.000528272
71,1641.52,0.45381,0.25713,0.79548,0.99687,0.96125,0.99299,0.87386,0.49233,0.25105,0.78569,0.000511769,0.000511769,0.000511769
72,1664.7,0.43228,0.25008,0.79118,0.99844,0.96832,0.99343,0.87444,0.492,0.24994,0.78473,0.000495266,0.000495266,0.000495266
73,1687.93,0.43348,0.24981,0.79487,0.99793,0.97111,0.99175,0.87812,0.48157,0.24714,0.78496,0.000478762,0.000478762,0.000478762
74,1711.28,0.43774,0.24618,0.7925,0.99451,0.97034,0.9936,0.87654,0.488,0.24926,0.78444,0.000462259,0.000462259,0.000462259
75,1734.58,0.42626,0.24846,0.79205,0.99896,0.9627,0.994,0.87754,0.4807,0.24792,0.78443,0.000445756,0.000445756,0.000445756
76,1757.8,0.42793,0.24359,0.78969,0.97902,0.98542,0.99157,0.8773,0.47655,0.24386,0.78433,0.000429253,0.000429253,0.000429253
77,1780.99,0.42971,0.24203,0.79434,0.99853,0.95827,0.99001,0.87478,0.48652,0.24149,0.78411,0.000412749,0.000412749,0.000412749
78,1804.36,0.42626,0.24099,0.79569,0.99791,0.96074,0.99068,0.87512,0.48083,0.23887,0.78381,0.000396246,0.000396246,0.000396246
79,1827.72,0.42445,0.24492,0.79005,0.99843,0.96031,0.99147,0.87563,0.475,0.24263,0.78342,0.000379743,0.000379743,0.000379743
80,1850.91,0.42315,0.24405,0.79066,0.99792,0.96641,0.9943,0.8796,0.47364,0.24266,0.78391,0.000363239,0.000363239,0.000363239
81,1873.59,0.42311,0.24042,0.78991,0.97133,0.98793,0.99286,0.87951,0.47112,0.23796,0.78378,0.000346736,0.000346736,0.000346736
82,1896.4,0.41993,0.24053,0.79471,0.99895,0.96078,0.99115,0.87946,0.47557,0.24059,0.78388,0.000330233,0.000330233,0.000330233
83,1919.12,0.41753,0.23448,0.79211,0.99843,0.95891,0.99271,0.87891,0.46906,0.23418,0.78307,0.000313729,0.000313729,0.000313729
84,1941.78,0.42325,0.23504,0.792,0.99698,0.97285,0.99405,0.88081,0.47352,0.23714,0.78385,0.000297226,0.000297226,0.000297226
85,1964.63,0.41546,0.23523,0.79447,0.99948,0.96108,0.98879,0.85824,0.46766,0.23259,0.78364,0.000280723,0.000280723,0.000280723
86,1987.46,0.4157,0.23286,0.79214,0.98007,0.98894,0.99374,0.88429,0.46167,0.23158,0.78296,0.00026422,0.00026422,0.00026422
87,2010.03,0.39959,0.22592,0.79381,0.9732,0.98592,0.99177,0.88251,0.46033,0.2303,0.7825,0.000247716,0.000247716,0.000247716
88,2032.54,0.42301,0.22782,0.79385,0.98193,0.98341,0.9908,0.8822,0.4598,0.22812,0.7827,0.000231213,0.000231213,0.000231213
89,2055.21,0.40926,0.22756,0.79406,0.98244,0.98441,0.99115,0.88136,0.46509,0.22934,0.78256,0.00021471,0.00021471,0.00021471
90,2078,0.40965,0.22694,0.78955,0.97801,0.98391,0.99089,0.88259,0.45883,0.22785,0.78224,0.000198206,0.000198206,0.000198206
91,2124.47,0.41551,0.22443,0.77425,0.99739,0.95916,0.99039,0.87709,0.47115,0.23193,0.78298,0.000181703,0.000181703,0.000181703
92,2147.6,0.40429,0.21754,0.77522,0.99948,0.96078,0.9914,0.87995,0.46746,0.23468,0.78205,0.0001652,0.0001652,0.0001652
93,2170.07,0.39759,0.21661,0.77751,0.99845,0.96924,0.99134,0.87943,0.46811,0.22973,0.78204,0.000148696,0.000148696,0.000148696
94,2193.18,0.40503,0.21386,0.77797,0.99764,0.97034,0.9902,0.88237,0.45916,0.22549,0.78194,0.000132193,0.000132193,0.000132193
95,2215.73,0.39818,0.21425,0.772,0.9969,0.9716,0.99063,0.88391,0.45445,0.22434,0.78134,0.00011569,0.00011569,0.00011569
96,2238.07,0.3917,0.20761,0.76947,0.98489,0.98341,0.99079,0.88404,0.45575,0.22207,0.78161,9.91865e-05,9.91865e-05,9.91865e-05
97,2260.48,0.39551,0.2063,0.77362,0.97751,0.98341,0.99074,0.88357,0.45389,0.22198,0.78167,8.26832e-05,8.26832e-05,8.26832e-05
98,2282.86,0.38598,0.20517,0.77324,0.97461,0.98441,0.9911,0.88441,0.45142,0.22058,0.78122,6.61799e-05,6.61799e-05,6.61799e-05
99,2305.28,0.38549,0.20031,0.76502,0.9973,0.97335,0.99021,0.88581,0.4466,0.21809,0.78139,4.96766e-05,4.96766e-05,4.96766e-05
100,2327.83,0.38237,0.20073,0.77293,0.97949,0.98441,0.99115,0.8861,0.44544,0.21556,0.78123,3.31733e-05,3.31733e-05,3.31733e-05
